Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Columbus Blue Jackets,20172018,82,2269,4048,3814,234,120,-202,316,128,3105,2798,307,111,-48,244,159
Winnipeg Jets,20172018,82,2044,3812,3589,223,21,45,157,137,2845,2656,189,17,106,66,89
Nashville Predators,20172018,82,2038,3851,3629,222,196,-192,218,138,2854,2689,165,156,-123,132,101
Dallas Stars,20172018,82,1927,3726,3576,150,102,-153,201,140,2680,2564,116,81,-69,104,100
San Jose Sharks,20172018,82,2092,4071,3928,143,127,-148,164,172,2966,2773,193,145,-39,87,185
Vegas Golden Knights,20172018,82,2076,3881,3754,127,79,-97,145,73,2881,2802,79,53,-26,52,46
Edmonton Oilers,20172018,82,2180,4047,3953,94,53,-67,108,70,3036,2905,131,36,42,53,92
Montréal Canadiens,20172018,82,2077,3947,3862,85,26,-101,160,32,2827,2785,42,-9,-4,55,-15
Los Angeles Kings,20172018,82,1938,3690,3687,3,61,-176,118,89,2736,2768,-32,38,-110,40,22
Toronto Maple Leafs,20172018,82,2076,3965,3993,-28,-128,-156,256,-62,2926,3086,-160,-198,-91,129,-182
Philadelphia Flyers,20172018,82,2004,3659,3702,-43,-1,-174,132,-2,2734,2727,7,7,-50,50,29
Florida Panthers,20172018,82,2175,3802,3928,-126,-46,-266,186,-2,2965,2964,1,23,-143,121,86
Detroit Red Wings,20172018,82,1964,3575,3746,-171,-22,-173,24,-114,2747,2816,-69,12,-59,-22,-34
New Jersey Devils,20172018,82,2018,3586,3794,-208,-122,-154,68,-119,2769,2878,-109,-77,-40,8,-54
Anaheim Ducks,20172018,82,1940,3665,3881,-216,-90,-255,129,-213,2753,2926,-173,-61,-159,47,-143
Arizona Coyotes,20172018,82,1912,3774,4073,-299,-94,-237,32,-173,2729,3083,-354,-146,-190,-18,-216
Washington Capitals,20172018,82,1850,3609,3915,-306,-185,-264,143,-183,2654,2951,-297,-168,-163,34,-192
Vancouver Canucks,20172018,82,1925,3497,3833,-336,-101,-320,85,-140,2642,2898,-256,-67,-200,11,-104
Buffalo Sabres,20172018,82,1937,3379,3719,-340,-138,-258,56,-250,2600,2867,-267,-70,-157,-40,-196
Colorado Avalanche,20172018,82,1841,3491,3845,-354,-179,-203,28,-146,2530,2850,-320,-167,-137,-16,-155
New York Islanders,20172018,82,2004,3742,4138,-396,-93,-320,17,-240,2735,3104,-369,-89,-191,-89,-192
Minnesota Wild,20172018,82,1955,3434,3843,-409,-233,-242,66,-279,2603,2804,-201,-154,-89,42,-160
Ottawa Senators,20172018,82,1962,3684,4124,-440,-218,-252,30,-307,2717,2993,-276,-93,-109,-74,-157
New York Rangers,20172018,82,1987,3532,4159,-627,-240,-313,-74,-497,2687,3146,-459,-184,-177,-98,-376
Carolina Hurricanes,20182019,82,2232,4272,3523,749,292,-26,483,478,3216,2653,563,204,24,335,331
San Jose Sharks,20182019,82,2127,4137,3403,734,341,126,267,553,3020,2514,506,228,149,129,355
Vegas Golden Knights,20182019,82,2233,4184,3513,671,264,66,341,453,3068,2594,474,211,94,169,350
Montréal Canadiens,20182019,82,2301,4356,3694,662,234,148,280,385,3132,2736,396,124,121,151,214
Calgary Flames,20182019,82,2058,3942,3383,559,140,24,395,303,2898,2558,340,102,25,213,184
Boston Bruins,20182019,82,2125,3867,3420,447,186,37,224,311,2951,2552,399,153,93,153,282
Nashville Predators,20182019,82,2134,3902,3565,337,188,-69,218,237,2950,2678,272,131,31,110,173
Toronto Maple Leafs,20182019,82,2176,4396,4100,296,139,-108,265,257,3184,3178,6,9,-76,73,40
Tampa Bay Lightning,20182019,82,2102,3826,3590,236,111,-37,162,105,2882,2728,154,57,-3,100,36
St. Louis Blues,20182019,82,2049,3717,3501,216,13,-46,249,69,2785,2571,214,44,19,151,102
