Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
Pittsburgh Penguins,20182019,82,100,0.61,910,750,54.8,49.7,46.5,52,52,50.4,50.2,47.6,52.8,51,50.9,48.5,8.3,93.1,101.4
Florida Panthers,20182019,82,86,0.524,810,940,46.3,49.4,45.4,50.6,52.1,51,50,47.2,50.8,51.9,51.6,49.5,7.9,90.7,98.5
Chicago Blackhawks,20182019,82,84,0.512,915,920,49.9,49.3,46.2,50.6,50.8,49.9,48.4,46.8,49.6,48.6,48.8,51.5,8.6,91.9,100.5
Washington Capitals,20182019,82,104,0.634,985,805,55,49,46.8,48.4,53.1,49,49,47.9,48.3,51.2,49,51.3,10.1,92.1,102.2
Winnipeg Jets,20182019,82,99,0.604,835,815,50.6,49,46.5,48.3,53.1,48,48.8,47.6,47.5,52.1,47.6,53.8,8.4,92.3,100.7
Arizona Coyotes,20182019,82,86,0.524,655,785,45.5,48.9,44.6,48.5,53.7,48.3,49.4,46.6,49.2,52.6,49,50,6.6,92.2,98.8
Philadelphia Flyers,20182019,82,82,0.5,825,950,46.5,48.5,45.1,47.4,51.5,48.1,48.9,47.8,47.7,50.6,48.7,46.3,8.3,91,99.4
Dallas Stars,20182019,82,93,0.567,680,665,50.6,48.3,45.1,47.2,53,47.9,48.5,45.6,47.6,52.2,48.1,46.3,6.9,93.5,100.4
Los Angeles Kings,20182019,82,71,0.433,700,850,45.2,48.1,43,48.5,50.5,48,47.7,45,48,48.8,47.8,47.2,7.5,91.7,99.2
Edmonton Oilers,20182019,82,79,0.482,730,890,45.1,48,45.3,47,51.2,47.8,47.8,47.3,46.5,49.3,48.1,47.3,7.7,91.5,99.2
Vancouver Canucks,20182019,82,81,0.494,725,880,45.2,47.9,46.4,47.2,49.6,48.3,48,48,48,48.1,48.5,47.2,7.8,91.6,99.3
New York Islanders,20182019,82,103,0.628,810,635,56.1,47.9,42.7,49.7,53,48.3,48.3,44.6,49.7,51.9,48.3,47.7,8.6,93.7,102.2
Anaheim Ducks,20182019,82,80,0.488,685,770,47.1,47.6,45.6,44.3,52.3,46.5,47.2,46.7,44.5,50.2,46.6,49.1,7.4,92.6,100
Detroit Red Wings,20182019,82,74,0.451,735,885,45.4,47.1,43.3,48.4,48.6,48,46.3,43.6,47.2,47.4,46.9,48,7.8,92,99.8
New Jersey Devils,20182019,82,72,0.439,730,920,44.2,46.9,44.6,47,48.4,47.1,47.5,46.4,47.9,48,47.6,44.4,7.6,91.1,98.7
New York Rangers,20182019,82,78,0.476,725,860,45.7,46.1,44.8,44.5,48.6,45.2,46.4,45.6,45.3,47.9,45.7,47.5,7.8,91.9,99.7
Ottawa Senators,20182019,82,64,0.39,850,"1,095",43.7,44.9,40.4,44.7,48.2,44.7,45.5,42.9,45.2,47.4,45.5,46.7,8.7,90.7,99.4
Vegas Golden Knights,20192020,71,86,0.606,750,720,51,54.8,52.9,54.7,57,54.1,55,54.1,55.2,55.9,54.6,55.5,7.7,91.2,98.9
Montréal Canadiens,20192020,71,71,0.5,735,710,50.9,54.4,53.4,54,56.1,53.9,53.7,54,53.5,53.7,53.2,50.6,7.5,91.7,99.2
