Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Vegas Golden Knights,20172018,20,473,1008,951,57,23,-21,55,-9,697,691,6,5,-6,7,-13
Anaheim Ducks,20172018,4,95,202,177,25,-4,-3,32,-8,143,130,13,-5,-4,22,-2
Pittsburgh Penguins,20172018,12,265,522,510,12,19,-15,8,8,382,349,33,24,6,3,29
Columbus Blue Jackets,20172018,6,161,328,318,10,2,-10,18,16,236,221,15,17,-7,5,14
Boston Bruins,20172018,12,294,554,568,-14,24,-67,29,-9,414,424,-10,17,-33,6,-7
Philadelphia Flyers,20172018,6,106,223,238,-15,-12,-10,7,-6,152,179,-27,-11,-9,-7,-11
Los Angeles Kings,20172018,4,100,210,236,-26,-8,3,-21,12,146,168,-22,-7,2,-17,-2
New Jersey Devils,20172018,5,115,188,217,-29,-11,3,-21,-28,150,174,-24,-1,3,-26,-20
Toronto Maple Leafs,20172018,7,162,321,352,-31,-24,-36,29,-30,241,271,-30,-13,-25,8,-20
San Jose Sharks,20172018,10,226,459,502,-43,-6,-31,-6,14,323,349,-26,-2,-13,-11,8
Colorado Avalanche,20172018,6,130,252,303,-51,-23,-18,-10,-26,168,222,-54,-31,-4,-19,-36
Washington Capitals,20172018,24,581,1127,1181,-54,-9,-100,55,-50,833,828,5,-7,-22,34,-20
Minnesota Wild,20172018,5,102,197,283,-86,-49,-11,-26,-67,140,210,-70,-37,-5,-28,-49
Carolina Hurricanes,20182019,15,356,728,578,150,66,16,68,74,534,419,115,45,31,39,64
Pittsburgh Penguins,20182019,4,112,223,177,46,25,-1,22,35,165,130,35,21,1,13,31
Nashville Predators,20182019,6,176,336,296,40,-5,-8,53,-3,234,197,37,10,-2,29,7
Vegas Golden Knights,20182019,7,190,362,324,38,26,-4,16,16,268,212,56,30,10,16,37
Tampa Bay Lightning,20182019,4,98,181,150,31,-12,-3,46,-1,128,111,17,-8,2,23,-5
St. Louis Blues,20182019,26,621,1169,1139,30,16,-58,72,10,851,837,14,4,-30,40,-9
