Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
Pittsburgh Penguins,20182019,4,0,0,20,50,28.6,55.8,46.7,56.7,55.6,55.7,55.9,54.6,57.5,54.6,56.8,55.5,3.6,88.8,92.3
Carolina Hurricanes,20182019,15,16,0.533,150,110,57.7,55.8,53,55.9,57.1,54.7,56,57.7,55.6,55.6,55.7,55.4,8.4,92.7,101.1
Tampa Bay Lightning,20182019,4,0,0,30,40,42.9,54.7,48.1,36.4,61,49.5,53.6,51.8,33.3,57.2,46.7,56.7,6.1,90.6,96.7
Nashville Predators,20182019,6,4,0.333,60,70,46.2,53.2,47,49.3,66.1,49.6,54.3,48.9,52.2,63.1,51.3,52.1,6.8,90.8,97.6
Vegas Golden Knights,20182019,7,6,0.429,70,45,60.9,52.8,49.3,55.7,54.2,52.6,55.8,52.6,59.9,56.1,58.5,57.5,7.4,94,101.3
Colorado Avalanche,20182019,12,14,0.583,110,100,52.4,50.9,49.9,51.1,51.6,51.3,51.1,53,51.3,49,50.6,49.3,7.1,93.2,100.2
Toronto Maple Leafs,20182019,7,6,0.429,60,55,52.2,50.8,43.4,52.5,52.8,50.4,49.5,46.4,48.2,51.7,48.9,50.5,6.4,94.4,100.8
St. Louis Blues,20182019,26,32,0.615,280,200,58.3,50.7,46.7,51.1,55.4,50.4,50.4,47.7,50.4,53.9,49.6,47,9,93.3,102.3
San Jose Sharks,20182019,20,20,0.5,175,220,44.3,50.6,49,47.6,54.2,50.7,48.9,48.5,45.7,51.4,48.9,51,7.9,90.8,98.7
Boston Bruins,20182019,24,30,0.625,210,190,52.5,50.5,48.3,50.8,54.6,51.1,51.5,50.4,51.8,53.2,51.9,52,6.8,93.3,100.1
Winnipeg Jets,20182019,6,4,0.333,55,50,52.4,49.8,44.1,53.8,51,49.3,49.4,45.3,52.6,50,48.7,56.8,7.8,93.4,101.2
New York Islanders,20182019,8,8,0.5,60,70,46.2,46.3,46,44.2,55.1,45,45.6,47.1,43.7,49.4,43.9,51.4,6.7,92.9,99.6
Dallas Stars,20182019,13,14,0.538,115,135,46,46.1,37.1,48.5,51.9,48.4,46.2,41,47.5,50,48,46.4,7.2,92.8,100
Columbus Blue Jackets,20182019,10,12,0.6,75,95,44.1,45.6,40,45.3,50.6,48.2,46.4,43.9,47.8,47.4,50.4,47.3,6.2,93.1,99.3
Calgary Flames,20182019,5,2,0.2,20,40,33.3,45.1,41.3,46.3,46.3,43.4,44.3,45.7,44.1,43.4,43.4,45.1,3.4,94.7,98
Washington Capitals,20182019,7,6,0.429,60,80,42.9,40.5,38.1,43.6,40,41.6,40.5,38.3,45.8,36.4,40.8,34.5,8.8,91.8,100.6
Vegas Golden Knights,20192020,20,24,0.6,195,145,57.4,58.9,53.7,58.2,65.5,59,61.1,59.2,61,63.3,60.8,54.9,7.1,92,99.1
Tampa Bay Lightning,20192020,25,36,0.72,280,190,59.6,56.3,52.4,57.9,57.6,54.1,56.8,55.2,57.4,57.5,54.6,53.9,7.9,93.1,101
Colorado Avalanche,20192020,15,19,0.633,190,115,62.3,56.2,52.7,54.4,63.9,55,55.8,55.5,53.5,59.4,53.9,49.8,9.6,92.5,102
Nashville Predators,20192020,4,2,0.25,30,50,37.5,56.2,52.6,52.8,60.3,50.3,59.1,57.1,58.6,60.3,52.2,51.1,4.6,89.6,94.1
Montréal Canadiens,20192020,10,10,0.5,75,55,57.7,54.1,52.1,50.4,57.3,54.2,53.6,51.2,51.1,56.3,54.6,46.8,6.4,94.5,101
Edmonton Oilers,20192020,4,2,0.25,45,60,42.9,54,55.3,54.9,52.1,53.2,53.4,57.1,52.4,50.7,52.5,54.5,9.1,85.6,94.6
Toronto Maple Leafs,20192020,5,4,0.4,15,50,23.1,52.9,47.3,54.1,53.4,53.2,52.5,49.1,54.3,51,53.8,57.1,2,92.4,94.4
Winnipeg Jets,20192020,4,2,0.25,20,30,40,52.9,52.1,39.5,59.5,49.4,52.4,51.8,42.4,57.8,50.7,45.8,4.7,93,97.7
Pittsburgh Penguins,20192020,4,2,0.25,20,45,30.8,51.4,57.6,47.8,51.6,53.8,50.7,54.7,47.8,51.9,53.4,61.4,4.1,90.8,94.9
St. Louis Blues,20192020,9,5,0.278,55,80,40.7,51.1,40.2,53.8,54.1,50.5,50.2,45,52,51.2,50.4,46.1,5.6,91.5,97.2
Boston Bruins,20192020,13,10,0.385,85,145,37,50.6,49.8,49,53.1,50.8,50.4,51.3,50.1,50.3,50.2,57.1,5.4,90.4,95.8
Minnesota Wild,20192020,4,2,0.25,15,40,27.3,49.8,45.6,51.1,56.9,48.5,51.7,45.9,57.1,56.4,49.7,48.3,3.6,90.2,93.9
Carolina Hurricanes,20192020,8,8,0.5,75,50,60,49.6,52.5,47.6,47.5,50.2,49.5,54.7,46.8,43.4,51.1,40.4,9,94.8,103.8
Washington Capitals,20192020,8,5,0.313,30,80,27.3,49.4,45.5,48.9,52,46.6,46.5,44.4,48.1,46.2,43.9,44.3,4.7,89.7,94.4
Florida Panthers,20192020,4,2,0.25,15,35,30,49.1,31.9,53.6,53.8,48,44.3,34.6,42.9,49.2,40.7,41.4,4.5,92,96.5
Philadelphia Flyers,20192020,16,20,0.625,155,130,54.4,47.6,42.2,50.5,52.9,46.3,46.8,43.9,48.9,49.2,44.8,50.3,8.7,93.1,101.7
New York Islanders,20192020,22,26,0.591,220,175,55.7,47.5,44.3,45.3,57.9,48.5,49.4,49.7,46,56.4,50.8,50.5,8.9,93.1,102
Calgary Flames,20192020,10,10,0.5,75,90,45.5,47.1,40.3,48.5,55.1,45.7,46,40.2,47,52.8,44.8,48.8,6.6,92.8,99.3
Dallas Stars,20192020,27,30,0.556,255,255,50,47,38.8,49.2,50.8,50.1,47.2,40.8,49,49.9,49.8,48.5,8.7,92.2,101
New York Rangers,20192020,3,0,0,10,40,20,45.6,33.3,48.4,44.6,45.5,45.2,33.3,49.3,43.5,46.3,57.6,3,89.1,92.2
Columbus Blue Jackets,20192020,10,8,0.4,90,80,52.9,43.6,44.6,43,44.4,45.8,45,46.2,44.7,44.3,46,42.3,6.6,95.2,101.7
Vancouver Canucks,20192020,17,20,0.588,135,110,55.1,42.8,39.5,41.1,49.3,43.1,42.4,41.9,41.4,44.5,43.5,46.5,8.4,95.1,103.5
Arizona Coyotes,20192020,9,8,0.444,75,100,42.9,42.4,35,44.7,46.4,44.7,40.3,36.2,42.4,42.1,43.9,49.1,8.1,92.8,100.9
Chicago Blackhawks,20192020,9,8,0.444,100,110,47.6,42.3,39.2,42.5,44.4,41.4,41.1,41.7,40.5,41,39.8,50.4,11.2,91.4,102.6
Pittsburgh Penguins,20202021,6,4,0.333,60,90,40,58.9,56.9,57.9,65.6,56.8,58.4,56.3,57.6,64.8,56.4,57.9,5.8,89,94.8
Edmonton Oilers,20202021,4,0,0,30,45,40,55.3,49.5,57.8,41.9,56.3,54.1,54.2,55.4,36.8,54.2,56.3,4.5,92.4,96.9
Carolina Hurricanes,20202021,11,10,0.455,105,100,51.2,55,50.4,56.2,54.6,54.1,54.9,55.1,57.1,50.8,54.6,53.8,6.4,92.4,98.8
Florida Panthers,20202021,6,4,0.333,50,60,45.5,54.7,57.7,53.6,54.1,51.1,54.8,59.7,53.3,53.7,53.1,53,6.2,91.8,98
